YEAR,ABW,AGO,AFG,AFR,ALB,ARE,ARG,ARM,ASI,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHS,BOL,BLZ,BIH,BTN,BLR,BRA,BRN,BWA,CAF,CAN,CHE,CHL,CMR,CHN,CIV,COD,COG,COL,CRI,CUB,CYP,CZE,DJI,DNK,DEU,DOM,DZA,ECU,EGY,EUR,ERI,ESH,EST,ETH,ESP,FIN,FJI,FLK,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GRC,GTM,GUF,GUY,GNB,GNQ,GRL,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KOR,KWT,LAO,LBN,LBR,LBY,LKA,LSO,LTU,LVA,LUX,MAR,MDA,MDG,MEX,MKD,MLI,MMR,MNE,MNG,MOZ,MRT,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRI,PRK,PRY,PSE,QAT,REU,ROU,RWA,SAU,SDN,SEN,SLB,SLE,SLV,SOM,SRB,SSD,SUR,SVK,SVN,SWE,SYR,SWZ,TCD,TGO,THA,TJK,TKM,TLS,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,VUT,YEM,ZAF,ZMB,ZWE
1861,-0.00121,-0.01223,-0.01375,-0.00819,-0.05756,-0.00806,0.0025,-0.05553,-0.0116,-0.00204,-0.02138,-0.05675,-0.01762,-0.00895,-0.0135,-0.00847,-0.00862,-0.0576,-0.00733,-0.01208,0.00233,-0.03303,-0.01123,-0.00965,-0.01137,-0.01205,-0.0047,-0.01506,-0.01645,-0.02147,-0.00002,-0.01481,-0.02052,-0.01528,-0.01554,-0.01543,-0.01332,-0.00921,-0.00348,-0.01217,-0.0115,-0.00784,0.00345,-0.01225,0.00338,-0.00479,-0.0172,-0.00417,-0.01884,0.00006,-0.01105,0.00567,-0.01354,-0.05298,-0.01011,-0.01291,0.00602,-0.02486,-0.0168,0.00218,-0.05894,-0.01536,-0.0117,-0.00386,-0.05125,0.00011,-0.01202,-0.01344,-0.00678,-0.01084,-0.02031,-0.00345,-0.02741,0.00319,-0.02197,-0.01437,-0.00693,0.00192,-0.05197,-0.00787,-0.01038,-0.00038,-0.04466,0.00362,0.00425,-0.03248,-0.02625,-0.01394,-0.05991,-0.00446,-0.03719,0.00872,-0.00035,-0.01261,-0.01317,-0.00351,-0.01352,0.0025,-0.00714,0.00533,-0.01029,-0.00388,-0.02187,-0.0061,-0.00355,-0.05891,-0.0035,-0.00397,-0.0581,-0.02778,-0.00656,-0.00448,-0.01096,-0.01091,-0.00599,-0.00161,-0.00279,-0.01371,-0.00318,-0.00815,-0.00822,-0.00265,-0.00202,-0.00143,-0.01755,-0.01042,-0.01539,-0.00618,-0.0173,-0.01086,0.00522,-0.0553,-0.00251,0.01067,-0.01631,-0.00156,-0.03351,-0.01677,-0.00857,-0.003,-0.00296,-0.00817,-0.0124,-0.0037,-0.01376,-0.03687,-0.01603,-0.01282,-0.01358,-0.02183,-0.00123,-0.02182,0.00354,-0.00309,-0.01411,-0.00001,-0.05036,-0.05381,-0.0059,-0.01498,-0.05283,-0.00432,-0.0162,-0.01302,-0.01632,0.00225,-0.02976,-0.0561,-0.01518,-0.00367,-0.0107,-0.0014,0.00289,-0.01094,-0.01103
1862,-0.02534,-0.0395,-0.06088,-0.04203,-0.06306,-0.05114,-0.02445,-0.06333,-0.03443,-0.03091,-0.06521,-0.06261,-0.04529,-0.05907,-0.03988,-0.04183,-0.04421,-0.06248,-0.04021,-0.04103,-0.02864,-0.06495,-0.05211,-0.04327,-0.03884,-0.04043,-0.03808,-0.04775,-0.05016,-0.06215,-0.02476,-0.04384,-0.05506,-0.04254,-0.04245,-0.04071,-0.04309,-0.03294,-0.03413,-0.04949,-0.06657,-0.039,-0.02367,-0.05432,-0.02574,-0.06103,-0.04218,-0.05749,-0.04918,-0.03808,-0.04871,-0.03477,-0.04121,-0.05772,-0.03027,-0.01775,-0.01342,-0.06337,-0.04065,-0.02723,-0.06302,-0.04252,-0.03887,-0.03405,-0.05417,-0.03404,-0.04143,-0.04439,-0.03476,-0.04,-0.01186,-0.03245,-0.06523,-0.02627,-0.06608,-0.03453,-0.04416,-0.01609,-0.05863,-0.06413,-0.02005,-0.05987,-0.06219,-0.02401,-0.06254,-0.04906,-0.07405,-0.04118,-0.06588,-0.03051,-0.05173,-0.07074,-0.02806,-0.05571,-0.0432,-0.05806,-0.03713,-0.03355,-0.03663,-0.03494,-0.06404,-0.05994,-0.06578,-0.02416,-0.04539,-0.06449,-0.04409,-0.03554,-0.0627,-0.06882,-0.03359,-0.04432,-0.03918,-0.03745,-0.03571,-0.01771,-0.0423,-0.03912,-0.03103,-0.04081,-0.01945,-0.05817,-0.01951,-0.03543,-0.06003,-0.0323,-0.03982,-0.0305,-0.03192,-0.04874,-0.02153,-0.05758,-0.03137,-0.06148,-0.05907,-0.01687,-0.0682,-0.04643,-0.05569,-0.03985,-0.03466,-0.02934,-0.03631,-0.03341,-0.03969,-0.06572,-0.04522,-0.04383,-0.06743,-0.06294,-0.02601,-0.05916,-0.02753,-0.04066,-0.04053,-0.03213,-0.05829,-0.06022,-0.02998,-0.0555,-0.05759,-0.03923,-0.03902,-0.04306,-0.06994,-0.02126,-0.05937,-0.06803,-0.0427,-0.03233,-0.02314,-0.0382,-0.03354,-0.04013,-0.03218
1863,-0.0277,-0.05088,-0.05586,-0.04556,-0.0498,-0.04576,-0.02875,-0.05449,-0.04349,-0.04011,-0.05067,-0.0528,-0.05159,-0.03854,-0.05031,-0.04629,-0.03709,-0.05119,-0.03015,-0.05481,-0.04203,-0.05616,-0.04479,-0.03233,-0.04958,-0.03686,-0.04946,-0.04905,-0.05744,-0.05128,-0.03094,-0.05031,-0.05314,-0.04901,-0.05143,-0.05136,-0.05051,-0.04112,-0.03497,-0.04343,-0.04577,-0.04518,-0.01908,-0.0348,-0.03719,-0.05571,-0.0479,-0.04584,-0.04435,-0.04311,-0.04192,-0.03234,-0.04988,-0.04894,-0.0336,-0.03315,-0.02062,-0.04913,-0.04844,-0.01641,-0.05191,-0.04987,-0.04913,-0.03844,-0.0457,-0.03923,-0.04807,-0.04901,-0.03842,-0.05351,-0.01004,-0.03576,-0.05393,-0.03811,-0.05278,-0.04475,-0.04352,-0.00362,-0.05812,-0.05455,-0.02815,-0.04402,-0.0503,-0.03537,-0.04815,-0.04444,-0.05928,-0.05198,-0.05806,-0.03533,-0.04356,-0.05244,-0.04067,-0.04971,-0.04259,-0.04681,-0.03903,-0.03507,-0.02975,-0.03359,-0.0435,-0.04611,-0.05408,-0.03765,-0.04115,-0.05216,-0.05085,-0.04048,-0.05029,-0.05848,-0.04579,-0.04903,-0.05137,-0.04503,-0.04734,-0.02715,-0.04922,-0.04927,-0.03552,-0.02463,-0.01809,-0.04771,-0.02545,-0.04743,-0.05534,-0.04136,-0.05254,-0.03618,-0.04491,-0.03365,-0.03298,-0.05243,-0.04292,-0.0418,-0.05067,-0.02632,-0.0566,-0.05186,-0.05167,-0.04562,-0.04065,-0.03853,-0.04563,-0.03653,-0.04981,-0.05616,-0.05099,-0.04979,-0.04925,-0.05177,-0.03092,-0.05146,-0.03557,-0.04597,-0.04902,-0.03891,-0.05879,-0.05227,-0.03812,-0.04962,-0.05055,-0.03142,-0.05143,-0.05804,-0.05071,-0.0266,-0.0566,-0.05799,-0.05107,-0.03874,-0.03637,-0.04568,-0.03806,-0.05221,-0.04789
1864,-0.02802,-0.0418,-0.04471,-0.03873,-0.04108,-0.03202,-0.02556,-0.04347,-0.03677,-0.03175,-0.03595,-0.04093,-0.04638,-0.03603,-0.04017,-0.0454,-0.02423,-0.0407,-0.01872,-0.03992,-0.03566,-0.03813,-0.02662,-0.01798,-0.0389,-0.03253,-0.03588,-0.04185,-0.04249,-0.03673,-0.02487,-0.04181,-0.04027,-0.03983,-0.04415,-0.04352,-0.04229,-0.03287,-0.02509,-0.0313,-0.04392,-0.04128,-0.00962,-0.03348,-0.03277,-0.03836,-0.04247,-0.02734,-0.03476,-0.04186,-0.02595,-0.0197,-0.04166,-0.03949,-0.02435,-0.02438,-0.01583,-0.03465,-0.04132,-0.0095,-0.04251,-0.04074,-0.03875,-0.03809,-0.0377,-0.03836,-0.03882,-0.04127,-0.03866,-0.04179,-0.01085,-0.03574,-0.03755,-0.03332,-0.03831,-0.0379,-0.03167,0.00457,-0.04219,-0.04418,-0.01878,-0.03552,-0.03705,-0.03146,-0.0351,-0.03943,-0.04751,-0.04348,-0.04593,-0.0355,-0.03695,-0.03761,-0.03124,-0.03865,-0.03736,-0.02806,-0.03552,-0.03133,-0.01559,-0.01951,-0.04125,-0.03997,-0.03858,-0.02798,-0.0306,-0.0423,-0.04386,-0.02886,-0.0408,-0.04416,-0.03528,-0.03916,-0.04314,-0.03645,-0.0366,-0.02251,-0.04267,-0.041,-0.03581,-0.02137,-0.01506,-0.02951,-0.02375,-0.03482,-0.045,-0.03269,-0.03964,-0.03189,-0.03436,-0.0289,-0.03025,-0.04281,-0.0311,-0.02908,-0.02978,-0.02209,-0.04284,-0.04524,-0.03657,-0.04149,-0.04002,-0.03339,-0.03632,-0.03668,-0.04095,-0.03878,-0.04275,-0.04081,-0.0454,-0.03713,-0.02464,-0.04037,-0.02907,-0.04197,-0.0407,-0.03658,-0.04312,-0.04249,-0.03432,-0.03833,-0.04059,-0.0206,-0.04254,-0.04428,-0.04754,-0.02473,-0.04284,-0.04429,-0.04206,-0.03057,-0.02971,-0.04379,-0.03181,-0.04441,-0.03383
1865,-0.01865,-0.02474,-0.01829,-0.02391,-0.03085,-0.02196,-0.01511,-0.02891,-0.01748,-0.01867,-0.03138,-0.02883,-0.01978,-0.03776,-0.02643,-0.03035,-0.01566,-0.03093,-0.01108,-0.02185,-0.01983,-0.02722,-0.01809,-0.02081,-0.02201,-0.01924,-0.02515,-0.02246,-0.02722,-0.03014,-0.01486,-0.02075,-0.02393,-0.02289,-0.02274,-0.02029,-0.02109,-0.02228,-0.01459,-0.01317,-0.04297,-0.02713,-0.01479,-0.02697,-0.01759,-0.01757,-0.01992,-0.01602,-0.02147,-0.02327,-0.0176,-0.01339,-0.02391,-0.02272,-0.01642,-0.00876,-0.01469,-0.02869,-0.02185,-0.01423,-0.03234,-0.02367,-0.02633,-0.02418,-0.02014,-0.02045,-0.02133,-0.02223,-0.02614,-0.01935,-0.01191,-0.02239,-0.02797,-0.01784,-0.0318,-0.01954,-0.02224,-0.00148,-0.02498,-0.0164,-0.01006,-0.01069,-0.02303,-0.0172,-0.01103,-0.02377,-0.03954,-0.02036,-0.03395,-0.02163,-0.02223,-0.01589,-0.01957,-0.0162,-0.02237,-0.01582,-0.01917,-0.01826,-0.019,-0.01251,-0.04095,-0.01266,-0.03221,-0.01322,-0.02131,-0.03204,-0.02822,-0.01985,-0.03116,-0.0359,-0.01644,-0.02382,-0.02413,-0.01971,-0.02254,-0.01529,-0.02715,-0.02537,-0.02217,-0.01932,-0.01074,-0.01833,-0.01443,-0.01975,-0.01965,-0.02166,-0.02274,-0.01969,-0.01869,-0.02418,-0.01639,-0.02525,-0.02218,-0.01216,-0.02076,-0.01505,-0.02816,-0.02067,-0.02569,-0.02559,-0.02482,-0.02377,-0.02394,-0.023,-0.01965,-0.02695,-0.02329,-0.02252,-0.0438,-0.0304,-0.01268,-0.02023,-0.01884,-0.02519,-0.02503,-0.01906,-0.02652,-0.02457,-0.02249,-0.01629,-0.02298,-0.01431,-0.0237,-0.01987,-0.03921,-0.01409,-0.02756,-0.03088,-0.02203,-0.01866,-0.01313,-0.02474,-0.01921,-0.02383,-0.01621
1866,-0.00667,-0.01154,-0.00598,-0.00772,-0.01274,-0.00875,-0.01174,-0.01489,-0.00953,-0.01299,-0.01438,-0.01569,-0.01475,-0.02809,-0.01135,-0.01178,-0.00514,-0.01371,-0.00489,-0.01038,-0.01298,-0.01268,-0.00746,-0.00936,-0.01353,-0.01148,-0.01438,-0.013,-0.01272,-0.01323,-0.01204,-0.01567,-0.01168,-0.01315,-0.0144,-0.01464,-0.01475,-0.00946,-0.00423,-0.00164,-0.03102,-0.01072,-0.00274,-0.02067,-0.01279,-0.00422,-0.01264,-0.00501,-0.01112,-0.01103,-0.00654,-0.00471,-0.01381,-0.01104,-0.00533,-0.01415,-0.01157,-0.01537,-0.01392,-0.00444,-0.01461,-0.01333,-0.00938,-0.0108,-0.00906,-0.01004,-0.01442,-0.01575,-0.00904,-0.01417,-0.00525,-0.00998,-0.01189,-0.01301,-0.01421,-0.0121,-0.00634,0.00391,-0.01224,-0.00637,-0.00384,-0.00349,-0.01472,-0.01231,-0.00447,-0.00591,-0.01972,-0.01252,-0.01899,-0.00757,-0.00835,0.00087,-0.01072,-0.00381,-0.01475,-0.00455,-0.01256,-0.01279,-0.00551,-0.00567,-0.03,-0.00461,-0.01457,-0.0129,-0.00636,-0.01389,-0.01244,-0.00917,-0.01308,-0.01907,-0.01147,-0.01122,-0.0102,-0.01337,-0.01211,-0.0133,-0.01225,-0.01282,-0.00786,-0.01546,0.00102,-0.00488,-0.01166,-0.01237,-0.00554,-0.00881,-0.01238,-0.01084,-0.01445,-0.01757,-0.01099,-0.01389,-0.0143,-0.00042,-0.00951,-0.01379,-0.01859,-0.0145,-0.00627,-0.01262,-0.01096,-0.00437,-0.01055,-0.01004,-0.01391,-0.0142,-0.01247,-0.01503,-0.02995,-0.01341,-0.00379,-0.00643,-0.01237,-0.01295,-0.01333,-0.01031,-0.01265,-0.01179,-0.0003,-0.00432,-0.01174,-0.00318,-0.014,-0.01558,-0.02527,-0.0111,-0.01477,-0.01733,-0.01305,-0.00878,-0.01058,-0.01051,-0.01151,-0.01024,-0.01502
1867,-0.00289,-0.00683,0.00481,-0.00359,-0.00329,0.00046,-0.00931,-0.00539,-0.00366,-0.01013,-0.01705,-0.00608,-0.00581,-0.02208,-0.00775,-0.00509,0.00243,-0.00262,0.0049,-0.00868,-0.01057,-0.01032,0.00157,-0.00335,-0.00547,-0.0043,-0.01082,-0.00632,-0.00557,-0.01653,-0.00997,-0.00553,-0.00002,-0.00594,-0.0032,-0.00517,-0.00321,-0.00772,0.00022,0.01282,-0.02279,-0.00569,-0.00227,-0.01083,-0.00955,-0.00014,-0.00691,-0.00026,-0.00558,-0.00677,0.0034,-0.00621,-0.0042,-0.00315,-0.00068,-0.00583,-0.01044,-0.01366,-0.00723,-0.00415,-0.0028,-0.00523,-0.00918,-0.0026,-0.00131,-0.00563,-0.00408,-0.00496,-0.00425,-0.00473,-0.00183,-0.00274,-0.01358,-0.00946,-0.01725,-0.00311,-0.00167,-0.00017,-0.00024,0.00412,-0.00094,0.0073,-0.00798,-0.00955,0.00571,0.00547,-0.01814,-0.00561,-0.00358,-0.00293,0.00281,0.00375,-0.00614,0.01111,-0.00451,0.00122,-0.00605,-0.0097,-0.00361,-0.00611,-0.02263,0.0063,-0.01745,-0.00685,-0.00131,-0.00322,-0.00482,-0.00166,-0.00288,-0.01754,-0.00769,-0.00363,-0.00572,-0.0032,-0.00979,-0.00951,-0.00713,-0.00405,-0.0033,-0.00463,0.00053,0.00099,-0.00909,-0.00527,0.00624,-0.00679,-0.00645,-0.00535,-0.00627,-0.00602,-0.00921,-0.0043,-0.01022,0.00359,0.00077,-0.00919,-0.01108,-0.00625,-0.00352,-0.00721,-0.00472,-0.00643,-0.00647,-0.00243,-0.00478,-0.00889,-0.00598,-0.00473,-0.02215,-0.01628,-0.003,0.00592,-0.0115,-0.00752,-0.00578,-0.00667,-0.0003,-0.0026,-0.00388,0.00816,-0.00293,0.00171,-0.00631,-0.0051,-0.02108,-0.01004,-0.00025,-0.00704,-0.00514,-0.00521,-0.00551,-0.00825,-0.00944,-0.00742,-0.00634
1868,-0.00414,0.00054,-0.00518,0.00155,-0.00738,0.00509,-0.0044,-0.01451,0.00123,-0.00354,-0.02371,-0.01152,0.0008,-0.03257,-0.00364,-0.00232,0.00444,-0.00817,0.00542,0.00076,-0.00195,-0.0172,0.00018,-0.01161,-0.00139,-0.00172,-0.00247,-0.00265,-0.01128,-0.01974,-0.00435,-0.00202,-0.00593,-0.00423,-0.00053,0.00109,-0.00025,-0.00563,0.00939,-0.00637,-0.03204,-0.00497,-0.00596,-0.02793,-0.00334,0.00201,0.00054,0.00182,-0.01631,-0.00112,0.00494,-0.00524,-0.00395,-0.01313,0.00319,-0.00353,-0.00522,-0.02141,0.00132,-0.01414,-0.007,-0.00451,-0.00561,-0.00335,-0.00935,-0.00075,-0.0021,-0.00222,-0.00361,0.0008,-0.00419,-0.00348,-0.02065,-0.00335,-0.02261,-0.00225,0.0038,-0.00339,-0.00756,-0.00593,0.0006,-0.00923,-0.01192,-0.00388,-0.0078,-0.00205,-0.02488,0.00124,-0.01105,-0.0051,-0.00275,-0.0045,0.00038,-0.00774,-0.0028,0.0005,-0.00415,-0.00589,-0.00871,-0.00658,-0.03266,-0.00822,-0.02164,-0.00418,0.00389,-0.00741,0.0014,0.00213,-0.00749,-0.02102,-0.00368,0.00123,0.00038,-0.00239,-0.00265,-0.00258,0.00063,-0.003,-0.00434,-0.02234,-0.00068,-0.00288,-0.00547,0.00425,-0.00429,-0.00406,-0.00103,-0.00307,-0.0065,-0.02518,-0.004,-0.01301,-0.00265,-0.00408,0.00205,-0.00226,-0.01578,0.00152,0.00466,0.00096,-0.00112,-0.0006,-0.00363,-0.00346,-0.00213,-0.01513,-0.00328,-0.00203,-0.03353,-0.01984,-0.00047,-0.00505,-0.00278,0.00159,-0.004,-0.00004,-0.00915,-0.01,0.00195,-0.00562,-0.00977,0.00534,-0.00239,0.00136,-0.03245,-0.00552,-0.0085,-0.01169,-0.0029,0.00213,-0.00221,-0.0001,-0.00517,-0.00026,-0.00354
1869,0.00305,0.00117,0.00357,0.00467,-0.00028,0.00858,-0.00156,0.00287,0.00465,-0.00224,-0.00964,0.0007,0.00615,-0.01394,0.00471,0.00282,0.00664,-0.00146,0.00494,0.00079,0.00225,-0.00652,0.00265,-0.0034,0.00192,0.00442,-0.00359,0.00621,-0.00703,-0.00951,-0.00275,0.00637,0.00672,0.00368,0.00379,0.00278,0.00603,0.00661,0.00848,0.00687,-0.01496,0.00362,-0.0056,-0.01502,0.00155,0.00613,0.00572,0.00542,-0.00226,0.0044,0.0042,-0.00408,0.00217,0.00355,-0.00461,-0.00561,-0.00518,-0.01274,0.00342,-0.00928,-0.00037,0.0033,0.00642,0.00361,0.00357,0.00358,0.00525,0.00683,0.00259,0.0046,-0.00707,0.00379,-0.00718,0.00191,-0.00983,0.00426,0.00635,0.00138,0.0074,0.00416,-0.00674,0.00584,-0.00265,0.0011,0.00395,0.00472,-0.01125,0.00358,0.00124,0.00302,0.00739,0.00368,0.00416,0.00723,0.00601,0.00596,0.00664,0.00079,-0.00315,-0.00338,-0.01447,0.00423,-0.0088,-0.0044,0.00697,-0.00093,0.00453,0.00755,-0.00075,-0.00953,-0.00208,0.00602,0.00175,0.00439,-0.00191,-0.00611,0.00515,0.00261,0.0036,-0.0135,-0.00306,0.00569,-0.00193,0.00565,0.00757,0.00504,0.001,0.00292,0.00069,-0.01509,0.00128,0.00315,-0.00561,0.00638,0.00164,-0.00586,-0.00426,0.00669,0.00772,0.00362,0.00594,-0.00262,0.00319,0.00432,0.00401,-0.00698,0.00441,0.00568,-0.01359,-0.00933,-0.00067,0.00451,-0.00426,0.00342,0.00225,0.00118,0.00902,0.00527,-0.0062,0.00344,0.00596,0.00826,0.00119,0.00394,-0.01277,-0.00063,0.00376,-0.00127,0.00375,0.0046,0.00011,0.00209,-0.00192,0.00345,-0.00489
1870,0.00108,0.00435,0.00652,0.00478,-0.0062,-0.00212,-0.00326,0.0002,0.00751,-0.00166,-0.00543,-0.00296,0.00691,-0.01235,0.00756,0.00272,-0.00036,-0.00632,-0.00054,0.00102,0.00412,-0.00074,0.00414,0.00341,0.00218,0.0064,-0.00181,0.00528,-0.0028,-0.00512,-0.0018,0.00743,0.01049,0.00212,0.00354,0.00705,0.00618,0.00785,0.00073,0.00694,-0.01044,0.00508,0.00439,-0.00618,0.00325,0.00311,0.00653,0.00179,-0.00405,0.00445,0.00023,0.00965,0.00289,0.00237,0.00005,-0.00745,-0.00212,-0.00268,0.00831,0.00267,-0.00666,0.00216,0.00844,0.00152,0.00401,0.00341,0.0081,0.00758,0.00389,0.00825,-0.0055,0.0017,-0.00397,0.00318,-0.00584,0.00526,0.00313,0.009,0.0093,0.00652,-0.00196,0.00169,-0.00145,0.00285,0.00039,0.01053,0.0002,0.00754,-0.00526,0.00296,0.01047,0.00135,0.00208,0.00661,0.00637,0.00251,0.00341,-0.00338,0.00649,0.00919,-0.01163,0.00448,-0.00552,-0.00258,0.00205,-0.007,0.0037,-0.00001,-0.00678,-0.00197,0.00216,0.00203,0.00603,0.00759,-0.00255,-0.00009,0.00545,0.00609,0.00334,0.00009,0.00105,0.00582,-0.00176,0.00023,0.01019,0.00622,0.00345,0.00333,-0.00039,-0.00078,0.00275,0.00116,-0.00171,0.00144,0.00584,0.00037,-0.0065,0.00617,-0.00031,0.00493,0.0034,0.00126,0.00698,0.0015,0.0045,-0.00092,0.00227,0.00794,-0.01049,-0.00533,0.00039,0.01053,-0.00606,0.00369,0.00334,0.00384,0.00844,0.00546,0.0036,0.01019,0.00382,-0.0016,-0.00006,0.00788,-0.00628,-0.00378,0.00598,-0.00387,0.00283,-0.00116,0.00071,0.00587,-0.00288,0.00556,-0.0035
