Entity,Code,Year,"Age-standardized deaths from infectious and parasitic diseases in both sexes per 100,000 people",Country ID
Albania,ALB,1987,13.346996,8
Albania,ALB,1988,11.110825,8
Albania,ALB,1989,15.654971,8
Albania,ALB,1992,9.98638,8
Albania,ALB,1993,13.130654,8
Albania,ALB,1994,11.635212,8
Albania,ALB,1995,6.2158575,8
Albania,ALB,1996,6.4933434,8
Albania,ALB,1997,4.7401843,8
Albania,ALB,1998,4.4100404,8
Albania,ALB,1999,3.5057914,8
Albania,ALB,2000,3.5417128,8
Albania,ALB,2001,4.5206156,8
Albania,ALB,2002,4.5948644,8
Albania,ALB,2003,4.4917383,8
Albania,ALB,2004,4.5447726,8
Albania,ALB,2005,3.2203562,8
Albania,ALB,2006,3.896322,8
Albania,ALB,2007,2.593476,8
Albania,ALB,2008,2.1744478,8
Albania,ALB,2009,1.2113036,8
Albania,ALB,2010,1.2890308,8
Argentina,ARG,1966,37.842968,32
Argentina,ARG,1967,46.19129,32
Argentina,ARG,1968,67.18314,32
Argentina,ARG,1969,61.089687,32
Argentina,ARG,1970,65.478096,32
Argentina,ARG,1977,50.342278,32
Argentina,ARG,1978,41.850433,32
Argentina,ARG,1979,33.020935,32
Argentina,ARG,1980,30.925016,32
Argentina,ARG,1981,30.466578,32
Argentina,ARG,1982,25.306349,32
Argentina,ARG,1983,27.529907,32
Argentina,ARG,1984,27.253614,32
Argentina,ARG,1985,25.33218,32
Argentina,ARG,1986,26.31856,32
Argentina,ARG,1987,28.335333,32
Argentina,ARG,1988,27.521938,32
Argentina,ARG,1989,27.122335,32
Argentina,ARG,1990,27.01328,32
Argentina,ARG,1991,28.132145,32
Argentina,ARG,1992,28.787815,32
Argentina,ARG,1993,28.783092,32
Argentina,ARG,1994,26.01655,32
Argentina,ARG,1995,27.883804,32
Argentina,ARG,1996,28.338552,32
Argentina,ARG,1997,34.985603,32
Argentina,ARG,1998,34.401466,32
Argentina,ARG,1999,33.686012,32
Argentina,ARG,2000,33.81794,32
Argentina,ARG,2001,34.71133,32
Argentina,ARG,2002,33.416393,32
Argentina,ARG,2003,33.26621,32
Argentina,ARG,2004,31.638054,32
Argentina,ARG,2005,32.4413,32
Argentina,ARG,2006,33.079132,32
Argentina,ARG,2007,32.0294,32
