Entity,Code,Year,Learning-Adjusted Years of School,Country ID
Afghanistan,AFG,2017,4.87,4
Afghanistan,AFG,2018,4.9497876,4
Afghanistan,AFG,2020,5.0528383,4
Albania,ALB,2010,7.3824778,8
Albania,ALB,2017,8.92,8
Albania,ALB,2018,8.851396,8
Albania,ALB,2020,8.953018,8
Algeria,DZA,2010,7.2022004,12
Algeria,DZA,2017,6.84,12
Algeria,DZA,2018,7.0480285,12
Algeria,DZA,2020,7.0915527,12
Angola,AGO,2017,4.11,24
Angola,AGO,2018,4.2349777,24
Angola,AGO,2020,4.2349777,24
Argentina,ARG,2010,8.238216,32
Argentina,ARG,2017,8.87,32
Argentina,ARG,2018,8.739134,32
Argentina,ARG,2020,8.41131,32
Armenia,ARM,2017,7.86,51
Armenia,ARM,2018,8.07041,51
Armenia,ARM,2020,7.994621,51
Australia,AUS,2010,11.056325,36
Australia,AUS,2017,11.55,36
Australia,AUS,2018,11.40922,36
Australia,AUS,2020,11.222505,36
Austria,AUT,2010,10.845024,40
Austria,AUT,2017,11.67,40
Austria,AUT,2018,11.275588,40
Austria,AUT,2020,10.906205,40
Azerbaijan,AZE,2010,6.878968,31
Azerbaijan,AZE,2017,8.75,31
Azerbaijan,AZE,2018,9.373489,31
Azerbaijan,AZE,2020,8.281513,31
Bangladesh,BGD,2017,6.5,50
Bangladesh,BGD,2018,5.9978147,50
Bangladesh,BGD,2020,5.989421,50
Belarus,BLR,2020,10.784273,112
Belgium,BEL,2010,11.161227,56
Belgium,BEL,2017,11.14,56
Belgium,BEL,2018,11.240353,56
Belgium,BEL,2020,11.183289,56
Benin,BEN,2010,4.9740124,204
Benin,BEN,2017,5.73,204
Benin,BEN,2018,5.64372,204
Benin,BEN,2020,5.6664166,204
Bhutan,BTN,2020,6.3267903,64
Bosnia and Herzegovina,BIH,2017,8.64,70
Bosnia and Herzegovina,BIH,2018,8.638537,70
Bosnia and Herzegovina,BIH,2020,7.801883,70
Botswana,BWA,2010,5.109524,72
Botswana,BWA,2017,5.27,72
Botswana,BWA,2018,5.074523,72
Botswana,BWA,2020,5.0830455,72
Brazil,BRA,2010,7.648079,76
Brazil,BRA,2017,7.63,76
Brazil,BRA,2018,7.774814,76
Brazil,BRA,2020,7.8728395,76
Brunei,BRN,2020,9.218924,96
Bulgaria,BGR,2010,9.222812,100
Bulgaria,BGR,2017,10.29,100
Bulgaria,BGR,2018,9.80042,100
Bulgaria,BGR,2020,8.687309,100
Burkina Faso,BFA,2010,3.1555173,854
Burkina Faso,BFA,2017,4.2,854
Burkina Faso,BFA,2018,4.3516855,854
Burkina Faso,BFA,2020,4.5330615,854
Burundi,BDI,2010,4.3617525,108
Burundi,BDI,2017,5.08,108
Burundi,BDI,2018,5.3796825,108
Burundi,BDI,2020,5.1646743,108
Cambodia,KHM,2017,6.9,116
Cambodia,KHM,2018,6.8543167,116
Cambodia,KHM,2020,6.8439803,116
Cameroon,CMR,2010,5.451394,120
Cameroon,CMR,2017,5.5,120
Cameroon,CMR,2018,5.2889247,120
Cameroon,CMR,2020,5.2868743,120
Canada,CAN,2010,11.427462,124
Canada,CAN,2017,11.74,124
Canada,CAN,2018,11.784588,124
Canada,CAN,2020,11.724046,124
Central African Republic,CAF,2020,2.6961548,140
Chad,TCD,2010,2.7752626,148
Chad,TCD,2017,2.64,148
Chad,TCD,2018,2.872748,148
Chad,TCD,2020,2.830429,148
Chile,CHL,2010,9.021066,152
Chile,CHL,2017,9.57,152
Chile,CHL,2018,9.688812,152
Chile,CHL,2020,9.40743,152
China,CHN,2017,9.67,156
China,CHN,2018,9.171392,156
China,CHN,2020,9.270027,156
Colombia,COL,2010,8.228467,170
Colombia,COL,2017,8.46,170
Colombia,COL,2018,8.520751,170
