Entity,Code,Year,Share of the population using safely managed drinking water services,Country ID
Afghanistan,AFG,2000,11.093327,4
Afghanistan,AFG,2001,11.105221,4
Afghanistan,AFG,2002,12.007733,4
Afghanistan,AFG,2003,12.909922,4
Afghanistan,AFG,2004,13.818684,4
Afghanistan,AFG,2005,14.733853,4
Afghanistan,AFG,2006,15.648427,4
Afghanistan,AFG,2007,16.562523,4
Afghanistan,AFG,2008,17.476011,4
Afghanistan,AFG,2009,18.388884,4
Afghanistan,AFG,2010,19.30114,4
Afghanistan,AFG,2011,20.212885,4
Afghanistan,AFG,2012,21.123997,4
Afghanistan,AFG,2013,22.03447,4
Afghanistan,AFG,2014,22.944302,4
Afghanistan,AFG,2015,23.85359,4
Afghanistan,AFG,2016,24.76222,4
Afghanistan,AFG,2017,25.671417,4
Afghanistan,AFG,2018,26.581314,4
Afghanistan,AFG,2019,27.491734,4
Afghanistan,AFG,2020,28.402506,4
Afghanistan,AFG,2021,29.313843,4
Afghanistan,AFG,2022,30.034098,4
Albania,ALB,2000,49.13832,8
Albania,ALB,2001,49.0812,8
Albania,ALB,2002,48.984764,8
Albania,ALB,2003,48.885445,8
Albania,ALB,2004,50.717678,8
Albania,ALB,2005,52.57833,8
Albania,ALB,2006,54.467083,8
Albania,ALB,2007,56.383842,8
Albania,ALB,2008,58.32848,8
Albania,ALB,2009,60.300903,8
Albania,ALB,2010,62.30063,8
Albania,ALB,2011,64.3274,8
Albania,ALB,2012,66.38085,8
Albania,ALB,2013,68.45983,8
Albania,ALB,2014,70.56326,8
Albania,ALB,2015,70.59197,8
Albania,ALB,2016,70.61651,8
Albania,ALB,2017,70.63694,8
Albania,ALB,2018,70.65335,8
Albania,ALB,2019,70.665855,8
Albania,ALB,2020,70.67454,8
Albania,ALB,2021,70.705795,8
Albania,ALB,2022,70.73607,8
Algeria,DZA,2000,70.078514,12
Algeria,DZA,2001,70.64218,12
Algeria,DZA,2002,71.19186,12
Algeria,DZA,2003,71.72697,12
Algeria,DZA,2004,72.24755,12
Algeria,DZA,2005,72.75315,12
Algeria,DZA,2006,73.24435,12
Algeria,DZA,2007,73.72072,12
Algeria,DZA,2008,74.18282,12
Algeria,DZA,2009,74.627686,12
Algeria,DZA,2010,75.05681,12
Algeria,DZA,2011,75.46992,12
Algeria,DZA,2012,75.86762,12
