Entity,Code,Year,$2.15 a day - Share of population in poverty,Country ID
Albania,ALB,1996,0.534846,8
Albania,ALB,2002,1.0926474,8
Albania,ALB,2005,0.5910857,8
Albania,ALB,2008,0.19992515,8
Albania,ALB,2012,0.6206909,8
Albania,ALB,2014,1.0231007,8
Albania,ALB,2015,0.096067496,8
Albania,ALB,2016,0.13930316,8
Albania,ALB,2017,0.39256993,8
Albania,ALB,2018,0.04810705,8
Albania,ALB,2019,0,8
Albania,ALB,2020,0.021277364,8
Algeria,DZA,1988,6.4203115,12
Algeria,DZA,1995,5.7705665,12
Algeria,DZA,2011,0.45546755,12
Angola,AGO,2000,21.360565,24
Angola,AGO,2008,14.589688,24
Angola,AGO,2018,31.122005,24
Armenia,ARM,1999,11.899414,51
Armenia,ARM,2001,13.9747505,51
Armenia,ARM,2002,9.966604,51
Armenia,ARM,2003,7.5395174,51
Armenia,ARM,2004,5.317806,51
Armenia,ARM,2005,2.6295705,51
Armenia,ARM,2006,1.9985934,51
Armenia,ARM,2007,1.5362027,51
Armenia,ARM,2008,0.8796942,51
Armenia,ARM,2009,1.2476557,51
Armenia,ARM,2010,0.9514653,51
Armenia,ARM,2011,1.1850709,51
Armenia,ARM,2012,0.8322223,51
Armenia,ARM,2013,1.7382652,51
Armenia,ARM,2014,1.4391431,51
Armenia,ARM,2015,1.1463602,51
Armenia,ARM,2016,1.1079466,51
Armenia,ARM,2017,0.7856546,51
Armenia,ARM,2018,1.339821,51
Armenia,ARM,2019,1.0300698,51
Armenia,ARM,2020,0.3520105,51
Armenia,ARM,2021,0.5235208,51
Armenia,ARM,2022,0.7810783,51
Australia,AUS,1981,0.9935031,36
Australia,AUS,1985,1.0013098,36
Australia,AUS,1989,0.744275,36
Australia,AUS,1995,0.74978226,36
Australia,AUS,2001,0.7474116,36
Australia,AUS,2003,0.9973307,36
Australia,AUS,2004,0.7125372,36
Australia,AUS,2008,0.36123243,36
Australia,AUS,2010,0.34916842,36
Australia,AUS,2014,0.4984838,36
Australia,AUS,2016,0.49874178,36
Australia,AUS,2018,0.49709398,36
Austria,AUT,1994,0.23091485,40
Austria,AUT,1995,0,40
Austria,AUT,1996,0,40
Austria,AUT,1997,0.24598348,40
Austria,AUT,1998,0.23944513,40
Austria,AUT,1999,0.22600505,40
Austria,AUT,2000,0,40
Austria,AUT,2003,0.33220324,40
Austria,AUT,2004,0.08165289,40
Austria,AUT,2005,0.1536901,40
Austria,AUT,2006,0.090110004,40
Austria,AUT,2007,0.37229174,40
Austria,AUT,2008,0.47116703,40
Austria,AUT,2009,0.6562347,40
Austria,AUT,2010,0.49070254,40
Austria,AUT,2011,0.41540423,40
Austria,AUT,2012,0.6169174,40
Austria,AUT,2013,0.33799785,40
Austria,AUT,2014,0.22426021,40
Austria,AUT,2015,0.677193,40
Austria,AUT,2016,0.6640636,40
Austria,AUT,2017,0.3180896,40
Austria,AUT,2018,0.56835836,40
Austria,AUT,2019,0.6406389,40
Austria,AUT,2020,0.68357754,40
Austria,AUT,2021,0.4858222,40
Azerbaijan,AZE,1995,12.420592,31
Azerbaijan,AZE,2001,6.1576586,31
Azerbaijan,AZE,2002,0.07950147,31
Azerbaijan,AZE,2003,0.050580967,31
Azerbaijan,AZE,2004,0,31
Azerbaijan,AZE,2005,0,31
Bangladesh,BGD,1983,37.284092,50
Bangladesh,BGD,1985,32.693893,50
Bangladesh,BGD,1988,41.73657,50
Bangladesh,BGD,1991,41.944866,50
Bangladesh,BGD,1995,33.668743,50
Bangladesh,BGD,2000,33.321335,50
Bangladesh,BGD,2005,23.96659,50
Bangladesh,BGD,2010,18.223856,50
Bangladesh,BGD,2016,13.468303,50
Bangladesh,BGD,2022,5.008496,50
Belarus,BLR,1998,21.763365,112
Belarus,BLR,1999,19.192299,112
Belarus,BLR,2000,13.642426,112
Belarus,BLR,2001,6.624224,112
Belarus,BLR,2002,4.394347,112
Belarus,BLR,2003,3.5103552,112
Belarus,BLR,2004,1.3008308,112
Belarus,BLR,2005,0.89088666,112
Belarus,BLR,2006,0.39857948,112
Belarus,BLR,2007,0.21858977,112
Belarus,BLR,2008,0.16652432,112
Belarus,BLR,2009,0.13817227,112
Belarus,BLR,2010,0.033942714,112
Belarus,BLR,2011,0.0065759616,112
Belarus,BLR,2012,0.01205592,112
Belarus,BLR,2013,0,112
Belarus,BLR,2014,0,112
Belarus,BLR,2015,0,112
Belarus,BLR,2016,0,112
Belarus,BLR,2017,0,112
Belarus,BLR,2018,0,112
Belarus,BLR,2019,0,112
Belarus,BLR,2020,0,112
Belgium,BEL,1985,0.2401878,56
Belgium,BEL,1988,0.4778089,56
Belgium,BEL,1992,0.9832839,56
Belgium,BEL,1995,0.41241008,56
Belgium,BEL,1997,0.4924794,56
Belgium,BEL,2000,0.305506,56
Belgium,BEL,2003,0.29441932,56
Belgium,BEL,2004,0.052021958,56
Belgium,BEL,2005,0.19307023,56
Belgium,BEL,2006,0.16894151,56
Belgium,BEL,2007,0.15145147,56
Belgium,BEL,2008,0.11841667,56
Belgium,BEL,2009,0.107580915,56
Belgium,BEL,2010,0.13711528,56
Belgium,BEL,2011,0.16826819,56
Belgium,BEL,2012,0.15657145,56
Belgium,BEL,2013,0.14450805,56
Belgium,BEL,2014,0.07649596,56
Belgium,BEL,2015,0.07075855,56
Belgium,BEL,2016,0.059816156,56
Belgium,BEL,2017,0.14786859,56
Belgium,BEL,2018,0.0811136,56
Belgium,BEL,2019,0.07855247,56
Belgium,BEL,2020,0.05472548,56
Belgium,BEL,2021,0.02996537,56
Belize,BLZ,1993,13.547187,84
Belize,BLZ,1994,14.793828,84
Belize,BLZ,1996,18.196114,84
Belize,BLZ,1997,20.901537,84
Belize,BLZ,1998,20.73299,84
Belize,BLZ,1999,19.556927,84
Benin,BEN,2003,53.089462,204
Benin,BEN,2011,54.26165,204
Benin,BEN,2015,50.70926,204
Benin,BEN,2018,20.082186,204
Benin,BEN,2021,12.723279,204
Bhutan,BTN,2003,13.3622055,64
Bhutan,BTN,2007,5.853421,64
Bhutan,BTN,2012,1.7303301,64
